register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿75990029810,Clínica Corachan,,,1996-09-17T00:00:00+02:00,2023-10-03T10:45:14.797254+02:00,,51500,C Buïgas,19,,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017,BARCELONA,TRUE,136687,20003,Telèfons,Centraleta,932545800,TRUE,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,65103008000000,427330.72615779063,4582807.840141923,41.39352284333145,2.130747645161546
﻿99400313275,Centre d'Urgències d'Atenció Primària Casernes de Sant Andreu,99400313267,Centre de Salut Isabel Roig-Casernes de Sant Andreu,2013-03-15T00:00:00+01:00,2023-02-22T14:08:26.125297+01:00,,701334,Carrer de Fernando Pessoa,47,51,60,Sant Andreu,9,Sant Andreu,8030,Barcelona,TRUE,225178,20001,Telèfons,Tel.,932747950,TRUE,,61731070,Centres urgències (CUAPs),Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Centres urgències (CUAPs),651,65103008000002,432571.726,4588265.323,41.44313317918459,2.1928246307372428
﻿99400034515,Centre d'Esclerosi Múltiple de Catalunya - CEMCAT,97325141753,Fundació Esclerosi Múltiple,2003-02-24T13:34:16+01:00,2023-03-09T15:05:49.417364+01:00,,352507,Pg Vall d'Hebron,119,,40,Montbau,7,Horta-Guinardó,8035,BARCELONA,TRUE,206072,20001,Telèfons,Tel.,931751555,TRUE,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,65103008000000,428430.55065672315,4586630.364106636,41.428049361310656,2.1434499328190997
﻿94286182144,Centre d'Atenció Primària El Clot,,,1994-10-13T00:00:00+01:00,2023-05-30T22:02:19.362999+02:00,,86200,C Concili de Trento,25,,65,el Clot,10,Sant Martí,8018,BARCELONA,TRUE,501647,20003,Telèfons,Centraleta,933037301,FALSE,,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,65103008000001,432558.0419614021,4584782.87696243,41.411766778513375,2.193049312588346
﻿75990099869,CBC Clínica Barceloneta,,,1996-09-18T00:00:00+02:00,2023-10-03T10:04:03.917395+02:00,,254100,C Pescadors,88,,3,la Barceloneta,1,Ciutat Vella,8003,BARCELONA,TRUE,142489,20001,Telèfons,Tel.,932214704,TRUE,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,65103008000000,432265.0716070922,4580807.510687398,41.375937136268696,2.189988859177943
﻿92086018491,Centre d'Atenció Primària La Pau,,,1987-02-04T00:00:00+01:00,2023-05-30T22:02:27.608863+02:00,,700957,C Pere Vergés,3,,73,la Verneda i la Pau,10,Sant Martí,8020,BARCELONA,TRUE,165910,20001,Telèfons,Tel.,932788660,TRUE,,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,65103008000001,433873.8019409037,4586010.263257357,41.42293083907828,2.208656896009578
﻿75990052917,Clínica Sant Jordi,,,1996-09-18T00:00:00+02:00,2023-10-03T10:44:39.248508+02:00,,116107,Pl Estació,12,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,TRUE,138110,20003,Telèfons,Centraleta,935047100,TRUE,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,65103008000000,432586.28613154736,4587557.429927636,41.436758654397906,2.193077895717268
﻿94040143759,Centre d'Atenció Primària Vallvidrera,,,1994-02-09T00:00:00+01:00,2023-05-30T22:02:18.642583+02:00,,280803,Carrer d'Elisa Moragas i Badia,2,2,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,8017,Barcelona,TRUE,174312,20001,Telèfons,Tel.,934068453,TRUE,,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,65103008000001,425131.616,4585083.577,41.41381756046356,2.1041639799133054
﻿75990364469,Hospital Plató,,,1996-09-18T00:00:00+02:00,2023-10-03T10:39:48.302660+02:00,,260158,C Plató,21,,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,TRUE,151838,20003,Telèfons,Centraleta,933069900,TRUE,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,65103008000000,428315.7564032176,4583661.522024942,41.4013000208271,2.1424279977430216
﻿92086031184,Centre d'Atenció Primària Ciutat Meridiana,,,1989-10-24T00:00:00+01:00,2023-05-30T22:02:27.067544+02:00,,300503,C Sant Feliu de Codines,2,,54,Torre Baró,8,Nou Barris,8033,BARCELONA,TRUE,167533,20003,Telèfons,Centraleta,933508889,TRUE,,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,65103008000001,431637.8098009769,4590192.817074642,41.46041438468622,2.1814277070234023
﻿92086031184,Centre d'Atenció Primària Ciutat Meridiana,,,1989-10-24T00:00:00+01:00,2023-05-30T22:02:27.067544+02:00,,300503,C Sant Feliu de Codines,2,,54,Torre Baró,8,Nou Barris,8033,BARCELONA,TRUE,167533,20003,Telèfons,Centraleta,933508889,TRUE,,61731070,Centres urgències (CUAPs),Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Centres urgències (CUAPs),651,65103008000002,431637.8098009769,4590192.817074642,41.46041438468622,2.1814277070234023
﻿92168172665,Clínica Oftalmològica Visioncore,,,1987-12-07T00:00:00+01:00,2023-07-11T08:50:39.363635+02:00,,187105,Madrazo,46,,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,TRUE,172830,20001,Telèfons,Tel.,933906139,TRUE,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,65103008000000,428774.4849842869,4583482.256870331,41.3997262174321,2.1479363598535164
﻿92086033721,Centre d'Atenció Primària El Carmel,,,1990-11-28T00:00:00+01:00,2023-05-30T22:02:25.448247+02:00,,224405,C Murtra,130,,37,el Carmel,7,Horta-Guinardó,8032,BARCELONA,TRUE,168138,20003,Telèfons,Centraleta,933571853,TRUE,,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,65103008000001,429390.7915051705,4585822.564180877,41.42085881955093,2.1550353094774626
﻿75990098805,Clínica Planas,,,1996-09-18T00:00:00+02:00,2023-10-03T10:43:25.618680+02:00,,249202,C Pere II de Montcada,16,,23,Sarrià,5,Sarrià-Sant Gervasi,8034,BARCELONA,TRUE,142044,20001,Telèfons,Tel.,932032812,TRUE,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,65103008000000,426074.6592198007,4583466.288446654,41.39933870913293,2.115644191358369
﻿94348144034,Centre d'Atenció Primària Horta,,,1994-12-14T00:00:00+01:00,2023-05-30T22:02:17.145383+02:00,,179901,C Lisboa,35,,37,el Carmel,7,Horta-Guinardó,8032,BARCELONA,TRUE,181533,20001,Telèfons,Tel.,934072768,TRUE,Equip d'Atenció Primària Horta D,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,65103008000001,429563.1326467588,4586707.34259421,41.428842787756075,2.1569943945774512
